StateFIPS,State,CountyFIPS,County,Start Year,End Year,LungCancerIncidence,BingeDrinking,CoronaryHeartDisease,Diabetes,Asthma,Obesity,BelowPoverty,Smoking,Female,Male,American Indian/Alaskan Native (includes Hispanic),Asian/Pacific Islander (includes Hispanic),Black (includes Hispanic),White (includes Hispanic)
1,Alabama,1001,Autauga,2015,2019,60.6,13.55,7.45,12.8,9.95,35.7,12.95,19.35,47.3,77.8,,,56.9,63.2
1,Alabama,1003,Baldwin,2015,2019,67.1,15.75,7.65,11.95,9.15,29.85,9.95,18.2,55.0,82.0,28.6,44.2,60.1,69.5
1,Alabama,1005,Barbour,2015,2019,65.5,11.75,10.6,19.4,11.3,40.55,29.0,25.7,52.7,82.9,,,52.1,71.9
1,Alabama,1007,Bibb,2015,2019,55.8,14.35,8.399999999999999,14.15,10.05,40.1,21.05,23.8,43.9,71.8,,29.6,53.7,56.7
1,Alabama,1009,Blount,2015,2019,64.9,13.95,8.75,13.45,9.9,36.45,14.75,21.8,49.8,85.0,,42.2,55.1,68.0
1,Alabama,1011,Bullock,2015,2019,58.1,11.75,9.4,20.1,11.3,44.95,36.25,24.7,45.2,75.8,,,52.4,64.1
1,Alabama,1013,Butler,2015,2019,68.8,11.05,9.95,18.55,11.05,40.400000000000006,23.05,22.3,51.9,90.6,,,58.6,73.5
1,Alabama,1015,Calhoun,2015,2019,71.9,13.15,8.6,14.7,10.55,38.4,18.35,21.1,58.1,89.2,,,57.5,74.5
1,Alabama,1017,Chambers,2015,2019,60.5,11.9,9.35,17.25,10.75,39.35,19.15,22.2,48.5,76.1,,,54.6,62.9
1,Alabama,1019,Cherokee,2015,2019,72.4,12.85,10.5,15.6,10.15,36.900000000000006,16.1,22.4,59.2,89.6,,,67.8,73.4
1,Alabama,1021,Chilton,2015,2019,57.8,13.55,8.850000000000001,14.65,10.25,39.95,16.65,23.1,47.3,70.8,,,53.7,58.6
1,Alabama,1023,Choctaw,2015,2019,58.2,10.85,10.8,19.35,11.05,41.4,22.35,22.0,40.9,80.4,,,57.1,58.3
1,Alabama,1025,Clarke,2015,2019,60.5,11.55,10.2,18.65,11.1,42.35,20.6,23.1,50.4,72.3,,,50.8,62.3
1,Alabama,1027,Clay,2015,2019,71.1,12.6,10.2,16.25,10.7,36.55,17.1,23.85,54.5,91.2,,,61.8,74.3
1,Alabama,1029,Cleburne,2015,2019,78.1,13.55,9.4,14.15,10.15,36.55,14.65,22.8,62.4,98.2,,,60.9,81.9
1,Alabama,1031,Coffee,2015,2019,70.6,13.65,7.8,13.65,9.8,35.4,14.4,20.45,56.7,89.1,,,63.9,72.7
1,Alabama,1033,Colbert,2015,2019,66.7,13.5,8.8,14.4,10.05,37.0,14.2,20.65,49.7,88.1,,,46.1,69.6
1,Alabama,1035,Conecuh,2015,2019,69.5,10.75,11.05,19.9,11.15,42.05,23.3,23.55,52.2,91.3,,,60.5,72.5
1,Alabama,1037,Coosa,2015,2019,60.2,11.6,10.55,18.1,10.5,40.35,18.0,22.55,49.5,73.4,,,59.1,61.0
1,Alabama,1039,Covington,2015,2019,67.2,12.55,9.8,15.6,10.45,37.150000000000006,18.55,22.5,55.6,81.5,,39.2,60.4,68.6
1,Alabama,1041,Crenshaw,2015,2019,60.6,12.55,9.45,16.15,10.65,36.25,18.15,22.45,47.2,78.9,,,56.2,64.5
1,Alabama,1043,Cullman,2015,2019,72.6,14.15,8.7,13.3,10.0,33.4,13.35,22.1,55.4,94.8,,,66.6,73.8
1,Alabama,1045,Dale,2015,2019,62.8,13.95,8.25,14.35,10.0,40.65,17.15,21.05,49.8,80.1,,107.3,57.1,64.0
1,Alabama,1047,Dallas,2015,2019,62.3,10.6,10.15,20.950000000000003,11.9,44.7,28.7,23.35,47.8,80.6,,,53.6,66.2
1,Alabama,1049,DeKalb,2015,2019,70.0,12.65,9.75,15.1,10.6,35.4,19.75,24.4,55.4,88.5,,,62.5,70.6
1,Alabama,1051,Elmore,2015,2019,61.2,14.1,7.1,12.95,10.0,35.75,11.3,19.65,48.6,77.5,,,56.9,64.2
1,Alabama,1053,Escambia,2015,2019,69.6,12.75,9.65,17.05,10.75,38.25,22.05,24.200000000000003,58.4,83.0,35.2,37.1,60.8,71.5
1,Alabama,1055,Etowah,2015,2019,69.7,12.95,8.9,14.7,10.2,35.8,18.15,22.3,55.4,88.1,,,56.8,71.1
1,Alabama,1057,Fayette,2015,2019,66.4,12.6,10.1,15.55,10.5,36.05,20.25,22.85,52.2,84.8,,,63.4,67.5
1,Alabama,1059,Franklin,2015,2019,72.7,13.7,8.8,14.4,9.95,37.0,17.65,22.2,55.8,94.3,,,50.5,75.3
1,Alabama,1061,Geneva,2015,2019,62.4,12.8,10.35,16.0,10.45,39.6,18.700000000000003,23.9,49.6,78.6,,80.4,59.6,63.1
1,Alabama,1063,Greene,2015,2019,56.0,8.899999999999999,12.4,25.8,12.65,46.2,30.9,25.45,41.5,75.5,,,58.8,54.8
1,Alabama,1065,Hale,2015,2019,56.4,10.85,10.1,19.8,11.6,44.6,23.05,23.450000000000003,42.3,74.8,,,54.1,57.9
1,Alabama,1067,Henry,2015,2019,59.9,12.35,9.65,16.450000000000003,10.35,37.4,17.549999999999997,21.25,48.1,75.7,,,54.9,60.5
1,Alabama,1069,Houston,2015,2019,61.5,12.4,8.6,15.4,10.45,37.6,17.95,21.3,48.5,78.2,,123.7,59.4,61.5
1,Alabama,1071,Jackson,2015,2019,62.4,13.0,10.1,15.3,10.4,37.95,17.2,22.8,52.8,75.0,,,48.5,64.9
1,Alabama,1073,Jefferson,2015,2019,59.8,14.6,7.15,13.7,9.85,34.3,16.15,17.6,46.7,77.2,,27.8,54.8,61.7
1,Alabama,1075,Lamar,2015,2019,72.8,12.4,10.75,16.5,10.4,36.4,16.35,22.9,59.0,91.9,,,70.4,73.7
1,Alabama,1077,Lauderdale,2015,2019,70.0,14.0,8.3,13.1,9.75,33.2,14.85,18.7,53.4,90.7,,,45.5,72.9
1,Alabama,1079,Lawrence,2015,2019,65.5,13.1,9.45,15.3,10.7,36.0,18.5,23.9,48.7,86.8,,,51.2,67.5
1,Alabama,1081,Lee,2015,2019,61.4,15.95,6.05,11.15,9.85,32.05,17.25,18.05,49.5,77.4,,,52.0,66.7
1,Alabama,1083,Limestone,2015,2019,60.7,14.1,7.4,12.8,9.85,33.849999999999994,11.7,20.45,49.7,74.9,,,50.5,63.0
1,Alabama,1085,Lowndes,2015,2019,59.4,10.05,10.6,22.1,12.1,45.85,25.85,24.65,45.6,77.9,,,54.5,63.4
1,Alabama,1087,Macon,2015,2019,58.8,10.4,8.95,19.85,12.05,42.3,29.75,20.25,47.0,74.3,,,54.5,62.1
1,Alabama,1089,Madison,2015,2019,62.3,14.35,6.65,11.95,9.6,32.75,11.7,16.2,51.6,76.2,,27.7,50.9,64.6
1,Alabama,1091,Marengo,2015,2019,55.7,11.3,9.65,18.6,11.1,44.05,24.4,22.15,36.8,80.1,,,51.9,58.0
1,Alabama,1093,Marion,2015,2019,78.0,13.0,10.05,14.8,10.25,35.5,18.55,22.700000000000003,62.9,97.7,,,73.7,78.6
1,Alabama,1095,Marshall,2015,2019,63.2,13.1,8.899999999999999,14.2,10.15,38.45,17.0,22.05,51.4,78.6,,37.5,53.4,64.9
1,Alabama,1097,Mobile,2015,2019,65.9,14.45,8.25,14.6,10.2,36.65,19.25,20.5,54.8,79.5,,40.6,59.8,67.9
1,Alabama,1099,Monroe,2015,2019,64.2,11.2,10.6,19.3,11.2,41.6,22.6,23.700000000000003,52.4,78.3,,,57.2,65.1
1,Alabama,1101,Montgomery,2015,2019,61.9,12.35,7.449999999999999,15.5,10.4,36.95,17.950000000000003,19.5,47.8,80.4,,,57.2,65.3
1,Alabama,1103,Morgan,2015,2019,62.3,12.85,8.25,13.5,9.85,36.05,13.45,20.1,50.8,77.3,,30.9,49.9,64.9
1,Alabama,1105,Perry,2015,2019,60.3,10.4,11.1,22.1,12.3,44.1,34.599999999999994,23.65,45.9,78.1,,,52.5,64.8
1,Alabama,1107,Pickens,2015,2019,61.1,12.1,9.6,17.45,10.75,41.0,23.700000000000003,22.6,46.8,80.3,,,62.7,60.9
1,Alabama,1109,Pike,2015,2019,59.4,14.0,7.199999999999999,13.35,10.95,35.5,22.700000000000003,18.85,47.8,75.1,,,54.5,63.3
1,Alabama,1111,Randolph,2015,2019,74.9,12.35,9.55,15.6,10.4,35.3,18.6,21.75,58.5,96.3,,,60.9,79.1
1,Alabama,1113,Russell,2015,2019,60.3,12.9,7.75,15.7,10.95,38.5,20.3,21.95,48.1,76.9,,,51.5,66.3
1,Alabama,1117,Shelby,2015,2019,58.8,14.3,6.3,10.4,9.0,31.65,7.1,14.85,46.3,75.4,,33.6,54.3,60.7
1,Alabama,1115,St. Clair,2015,2019,61.5,14.7,7.9,12.8,9.95,36.9,11.6,21.950000000000003,48.6,78.5,,35.9,54.1,64.0
1,Alabama,1119,Sumter,2015,2019,56.8,11.05,9.0,19.0,11.95,40.55,35.55,20.45,39.8,78.7,,,57.8,55.4
1,Alabama,1121,Talladega,2015,2019,63.9,12.15,9.2,16.15,10.9,37.95,18.35,23.65,52.8,77.8,,,52.6,66.1
1,Alabama,1123,Tallapoosa,2015,2019,62.7,11.9,9.9,16.65,10.6,36.85,17.85,22.25,47.5,81.5,,,56.1,65.4
1,Alabama,1125,Tuscaloosa,2015,2019,60.3,15.2,6.2,11.8,10.2,35.35,16.5,19.200000000000003,45.9,79.8,,,56.0,62.5
1,Alabama,1127,Walker,2015,2019,61.7,12.75,9.7,14.55,10.3,36.05,17.6,24.15,46.6,81.7,,30.3,55.5,64.1
1,Alabama,1129,Washington,2015,2019,62.7,11.95,10.05,17.25,10.75,37.7,18.1,23.1,51.4,76.6,,38.5,57.2,64.6
1,Alabama,1131,Wilcox,2015,2019,58.6,9.75,11.0,22.15,12.2,45.05,32.95,24.85,40.6,81.5,,,55.3,60.1
1,Alabama,1133,Winston,2015,2019,73.9,12.75,10.6,15.55,10.5,37.3,17.65,24.0,56.8,95.3,,,53.7,75.4
2,Alaska,2013,Aleutians East,2015,2019,82.9,14.8,6.0,13.3,7.65,30.4,15.15,21.0,,,150.6,,,
2,Alaska,2016,Aleutians West,2015,2019,65.3,17.049999999999997,4.85,10.8,7.35,29.55,8.8,19.15,,,,,,
2,Alaska,2020,Anchorage,2015,2019,54.5,17.75,4.8,8.5,9.15,29.15,9.5,16.4,48.3,61.9,95.3,42.9,49.6,52.5
2,Alaska,2050,Bethel,2015,2019,57.5,16.799999999999997,8.85,15.1,13.85,37.45,28.1,35.75,48.7,67.8,85.9,,,52.5
2,Alaska,2060,Bristol Bay,2015,2019,80.6,17.700000000000003,7.1,11.3,10.45,33.3,10.5,21.55,,,97.8,,,
2,Alaska,2068,Denali,2015,2019,51.4,18.1,5.75,9.05,9.15,28.35,6.75,19.05,47.7,56.5,85.6,,,48.2
2,Alaska,2070,Dillingham,2015,2019,68.5,17.799999999999997,8.100000000000001,13.45,12.45,35.2,20.05,30.9,50.1,90.4,79.2,,,
2,Alaska,2090,Fairbanks North Star,2015,2019,47.2,18.25,4.5,7.5,9.25,29.8,7.9,17.55,46.8,48.3,93.3,,,40.8
2,Alaska,2100,Haines,2015,2019,43.8,16.049999999999997,7.4,10.95,9.4,29.700000000000003,10.15,17.0,45.9,41.0,94.8,,,38.0
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,2015,2019,41.9,15.0,9.5,14.65,10.35,34.7,16.45,21.9,43.0,40.2,85.9,,,36.9
2,Alaska,2110,Juneau,2015,2019,43.4,18.45,5.15,8.3,9.05,26.45,6.8,15.7,44.2,41.8,93.4,,,37.5
2,Alaska,2122,Kenai Peninsula,2015,2019,54.9,16.7,7.15,10.4,9.35,30.25,11.4,20.1,48.1,62.9,89.7,43.4,49.7,52.4
2,Alaska,2130,Ketchikan Gateway,2015,2019,57.9,17.1,6.449999999999999,10.25,9.45,33.5,9.25,19.75,50.6,65.0,67.4,,,55.4
2,Alaska,2150,Kodiak Island,2015,2019,56.0,17.8,4.949999999999999,9.2,8.649999999999999,27.5,7.649999999999999,18.1,48.4,64.4,120.4,,,51.0
2,Alaska,2164,Lake and Peninsula,2015,2019,56.4,16.65,8.55,14.4,12.25,36.8,17.799999999999997,29.85,48.3,65.2,87.4,,,49.4
2,Alaska,2170,Matanuska-Susitna,2015,2019,54.8,17.1,5.6,8.75,9.75,31.55,10.0,20.3,48.3,62.6,88.5,42.7,49.4,52.2
2,Alaska,2180,Nome,2015,2019,75.5,18.1,7.85,13.35,12.55,39.7,21.35,33.2,64.9,85.9,86.0,,,
2,Alaska,2185,North Slope,2015,2019,90.5,20.25,6.3,10.9,9.9,34.9,11.25,26.1,90.0,92.6,114.5,,,
