StateFIPS,State,CountyFIPS,County,Start Year,End Year,LiverCancerIncidence,BingeDrinking,CoronaryHeartDisease,Diabetes,Asthma,Obesity,BelowPoverty,Smoking
1,Alabama,01001,Autauga,2015,2019,7.98,13.55,7.45,12.8,9.95,35.7,12.95,19.35
1,Alabama,01003,Baldwin,2015,2019,10.19,15.75,7.65,11.95,9.15,29.85,9.95,18.2
1,Alabama,01005,Barbour,2015,2019,7.71,11.75,10.6,19.4,11.3,40.55,29.0,25.7
1,Alabama,01007,Bibb,2015,2019,8.13,14.35,8.399999999999999,14.149999999999999,10.05,40.1,21.05,23.799999999999997
1,Alabama,01009,Blount,2015,2019,9.38,13.95,8.75,13.45,9.899999999999999,36.45,14.75,21.8
1,Alabama,01011,Bullock,2015,2019,7.11,11.75,9.399999999999999,20.1,11.3,44.95,36.25,24.7
1,Alabama,01013,Butler,2015,2019,8.32,11.05,9.95,18.55,11.05,40.400000000000006,23.05,22.299999999999997
1,Alabama,01015,Calhoun,2015,2019,9.86,13.149999999999999,8.6,14.7,10.55,38.4,18.35,21.1
1,Alabama,01017,Chambers,2015,2019,6.47,11.899999999999999,9.350000000000001,17.25,10.75,39.35,19.15,22.2
1,Alabama,01019,Cherokee,2015,2019,10.09,12.850000000000001,10.5,15.600000000000001,10.15,36.900000000000006,16.1,22.4
1,Alabama,01021,Chilton,2015,2019,7.22,13.55,8.850000000000001,14.649999999999999,10.25,39.95,16.65,23.1
1,Alabama,01023,Choctaw,2015,2019,8.21,10.85,10.8,19.35,11.05,41.4,22.35,22.0
1,Alabama,01025,Clarke,2015,2019,8.37,11.55,10.2,18.65,11.100000000000001,42.35,20.6,23.1
1,Alabama,01027,Clay,2015,2019,7.75,12.600000000000001,10.2,16.25,10.7,36.55,17.1,23.85
1,Alabama,01029,Cleburne,2015,2019,10.87,13.55,9.4,14.15,10.15,36.55,14.65,22.799999999999997
1,Alabama,01031,Coffee,2015,2019,8.34,13.649999999999999,7.8,13.649999999999999,9.8,35.4,14.4,20.45
1,Alabama,01033,Colbert,2015,2019,7.84,13.5,8.8,14.4,10.05,37.0,14.2,20.65
1,Alabama,01035,Conecuh,2015,2019,7.38,10.75,11.05,19.9,11.149999999999999,42.05,23.299999999999997,23.55
1,Alabama,01037,Coosa,2015,2019,7.64,11.6,10.55,18.1,10.5,40.35,18.0,22.549999999999997
1,Alabama,01039,Covington,2015,2019,6.99,12.55,9.8,15.600000000000001,10.45,37.150000000000006,18.549999999999997,22.5
1,Alabama,01041,Crenshaw,2015,2019,7.56,12.55,9.45,16.15,10.65,36.25,18.15,22.45
1,Alabama,01043,Cullman,2015,2019,8.17,14.15,8.7,13.3,10.0,33.4,13.35,22.1
1,Alabama,01045,Dale,2015,2019,7.65,13.95,8.25,14.350000000000001,10.0,40.65,17.15,21.05
1,Alabama,01047,Dallas,2015,2019,8.08,10.600000000000001,10.149999999999999,20.950000000000003,11.9,44.7,28.7,23.35
1,Alabama,01049,DeKalb,2015,2019,8.84,12.649999999999999,9.75,15.1,10.6,35.4,19.75,24.4
1,Alabama,01051,Elmore,2015,2019,7.26,14.1,7.1,12.95,10.0,35.75,11.3,19.65
1,Alabama,01053,Escambia,2015,2019,8.2,12.75,9.649999999999999,17.05,10.75,38.25,22.05,24.200000000000003
1,Alabama,01055,Etowah,2015,2019,9.43,12.95,8.9,14.7,10.2,35.8,18.15,22.3
1,Alabama,01057,Fayette,2015,2019,8.36,12.600000000000001,10.1,15.55,10.5,36.05,20.25,22.85
1,Alabama,01059,Franklin,2015,2019,8.87,13.7,8.8,14.4,9.95,37.0,17.65,22.2
1,Alabama,01061,Geneva,2015,2019,7.48,12.8,10.35,16.0,10.45,39.6,18.700000000000003,23.9
1,Alabama,01063,Greene,2015,2019,6.61,8.899999999999999,12.4,25.8,12.65,46.2,30.9,25.45
1,Alabama,01065,Hale,2015,2019,6.54,10.85,10.1,19.8,11.600000000000001,44.6,23.05,23.450000000000003
1,Alabama,01067,Henry,2015,2019,8.31,12.350000000000001,9.649999999999999,16.450000000000003,10.35,37.4,17.549999999999997,21.25
1,Alabama,01069,Houston,2015,2019,8.6,12.4,8.6,15.4,10.45,37.599999999999994,17.95,21.3
1,Alabama,01071,Jackson,2015,2019,7.66,13.0,10.100000000000001,15.3,10.4,37.95,17.2,22.8
