StateFIPS,State,CountyFIPS,County,Start Year,End Year,LiverCancerIncidence,BingeDrinking,CoronaryHeartDisease,Diabetes,Asthma,Obesity,BelowPoverty,Smoking,Female,Male,American Indian/Alaskan Native (includes Hispanic),Asian/Pacific Islander (includes Hispanic),Black (includes Hispanic),White (includes Hispanic)
1,Alabama,1001,Autauga,2015,2019,7.98,13.55,7.45,12.8,9.95,35.7,12.95,19.35,4.86,11.8,,,7.54,8.1
1,Alabama,1003,Baldwin,2015,2019,10.19,15.75,7.65,11.95,9.15,29.85,9.95,18.2,5.07,16.17,,15.07,11.07,9.7
1,Alabama,1005,Barbour,2015,2019,7.71,11.75,10.6,19.4,11.3,40.55,29.0,25.7,5.53,10.11,,,5.41,9.01
1,Alabama,1007,Bibb,2015,2019,8.13,14.35,8.399999999999999,14.15,10.05,40.1,21.05,23.8,4.38,12.8,,,8.36,7.73
1,Alabama,1009,Blount,2015,2019,9.38,13.95,8.75,13.45,9.9,36.45,14.75,21.8,4.82,14.94,,,9.78,9.04
1,Alabama,1011,Bullock,2015,2019,7.11,11.75,9.4,20.1,11.3,44.95,36.25,24.7,5.25,9.31,,,7.16,7.08
1,Alabama,1013,Butler,2015,2019,8.32,11.05,9.95,18.55,11.05,40.400000000000006,23.05,22.3,5.63,11.8,,,8.24,7.73
1,Alabama,1015,Calhoun,2015,2019,9.86,13.15,8.6,14.7,10.55,38.4,18.35,21.1,5.85,14.48,,,9.13,9.85
1,Alabama,1017,Chambers,2015,2019,6.47,11.9,9.35,17.25,10.75,39.35,19.15,22.2,3.68,9.62,,,6.84,6.2
1,Alabama,1019,Cherokee,2015,2019,10.09,12.85,10.5,15.6,10.15,36.900000000000006,16.1,22.4,5.61,15.27,,,10.69,9.8
1,Alabama,1021,Chilton,2015,2019,7.22,13.55,8.850000000000001,14.65,10.25,39.95,16.65,23.1,4.03,11.08,,,6.22,7.27
1,Alabama,1023,Choctaw,2015,2019,8.21,10.85,10.8,19.35,11.05,41.4,22.35,22.0,5.05,12.05,,,6.6,9.22
1,Alabama,1025,Clarke,2015,2019,8.37,11.55,10.2,18.65,11.1,42.35,20.6,23.1,4.23,13.18,,,7.37,8.6
1,Alabama,1027,Clay,2015,2019,7.75,12.6,10.2,16.25,10.7,36.55,17.1,23.85,4.69,11.12,,,7.07,7.8
1,Alabama,1029,Cleburne,2015,2019,10.87,13.55,9.4,14.15,10.15,36.55,14.65,22.8,5.56,17.08,,,7.25,11.51
1,Alabama,1031,Coffee,2015,2019,8.34,13.65,7.8,13.65,9.8,35.4,14.4,20.45,5.63,11.54,,,9.13,7.86
1,Alabama,1033,Colbert,2015,2019,7.84,13.5,8.8,14.4,10.05,37.0,14.2,20.65,4.58,11.99,,,,8.14
1,Alabama,1035,Conecuh,2015,2019,7.38,10.75,11.05,19.9,11.15,42.05,23.3,23.55,4.06,11.73,,,,7.62
1,Alabama,1037,Coosa,2015,2019,7.64,11.6,10.55,18.1,10.5,40.35,18.0,22.55,4.32,11.51,,,6.61,7.74
1,Alabama,1039,Covington,2015,2019,6.99,12.55,9.8,15.6,10.45,37.150000000000006,18.55,22.5,4.33,10.14,,,8.07,6.67
1,Alabama,1041,Crenshaw,2015,2019,7.56,12.55,9.45,16.15,10.65,36.25,18.15,22.45,5.21,10.55,,,7.78,7.11
1,Alabama,1043,Cullman,2015,2019,8.17,14.15,8.7,13.3,10.0,33.4,13.35,22.1,3.83,13.05,,,,8.21
1,Alabama,1045,Dale,2015,2019,7.65,13.95,8.25,14.35,10.0,40.65,17.15,21.05,5.06,10.64,,,7.5,7.77
1,Alabama,1047,Dallas,2015,2019,8.08,10.6,10.15,20.950000000000003,11.9,44.7,28.7,23.35,4.87,11.84,,,7.37,8.19
