StateFIPS,State,CountyFIPS,County,Start Year,End Year,CancerIncidence,Data Comment,Unnamed: 8,BingeDrinking,CoronaryHeartDisease,Diabetes,Asthma,Obesity,BelowPoverty,Smoking,AirQuality
1,Alabama,01003,Baldwin,2015,2019,10.19,,,15.75,7.65,11.95,9.15,29.85,9.95,18.2,7.3
1,Alabama,01027,Clay,2015,2019,7.75,,,12.600000000000001,10.2,16.25,10.7,36.55,17.1,23.85,7.2
1,Alabama,01033,Colbert,2015,2019,7.84,,,13.5,8.8,14.4,10.05,37.0,14.2,20.65,7.5
1,Alabama,01049,DeKalb,2015,2019,8.84,,,12.649999999999999,9.75,15.1,10.6,35.4,19.75,24.4,7.25
1,Alabama,01055,Etowah,2015,2019,9.43,,,12.95,8.9,14.7,10.2,35.8,18.15,22.3,8.05
1,Alabama,01069,Houston,2015,2019,8.6,,,12.4,8.6,15.4,10.45,37.599999999999994,17.95,21.3,7.9
1,Alabama,01073,Jefferson,2015,2019,8.55,,,14.6,7.15,13.7,9.85,34.3,16.15,17.6,10.45
1,Alabama,01089,Madison,2015,2019,7.4,,,14.35,6.65,11.95,9.6,32.75,11.7,16.2,7.45
1,Alabama,01097,Mobile,2015,2019,10.41,,,14.45,8.25,14.600000000000001,10.2,36.65,19.25,20.5,8.2
1,Alabama,01101,Montgomery,2015,2019,8.06,,,12.350000000000001,7.449999999999999,15.5,10.4,36.95,17.950000000000003,19.5,8.75
1,Alabama,01103,Morgan,2015,2019,7.46,,,12.850000000000001,8.25,13.5,9.85,36.05,13.45,20.1,7.5
1,Alabama,01113,Russell,2015,2019,6.68,,,12.9,7.75,15.7,10.95,38.5,20.299999999999997,21.95,9.45
1,Alabama,01125,Tuscaloosa,2015,2019,8.69,,,15.2,6.2,11.8,10.2,35.35,16.5,19.200000000000003,7.800000000000001
2,Alaska,02020,Anchorage,2015,2019,9.3,,,17.75,4.8,8.5,9.15,29.15,9.5,16.4,6.8
2,Alaska,02090,Fairbanks North Star,2015,2019,8.17,,,18.25,4.5,7.5,9.25,29.8,7.9,17.55,13.5
2,Alaska,02110,Juneau,2015,2019,10.2,,,18.45,5.15,8.3,9.05,26.45,6.8,15.700000000000001,6.85
